Subject,Relation,Object
Mr. Kellenberger,related_to,Donald Rumsfeld
Mr. Kellenberger,related_to,later today
Monday,related_to,State
Monday,related_to,Condoleezza Rice
Monday,related_to,Donald Rumsfeld
Monday,related_to,later today
State,related_to,Condoleezza Rice
State,related_to,Donald Rumsfeld
State,related_to,later today
Condoleezza Rice,related_to,Donald Rumsfeld
Condoleezza Rice,related_to,later today
Donald Rumsfeld,related_to,later today
ICRC,related_to,Bush
ICRC,related_to,2001
ICRC,related_to,Afghanistan
Bush,related_to,2001
Bush,related_to,Afghanistan
2001,related_to,Afghanistan
"Captain Moussa "" Dadis "" Camara",related_to,Guinea
Camara,related_to,December
Camara,related_to,Lansana Conte
December,related_to,Lansana Conte
Human Rights Watch,related_to,Camara
Saddam Hussein,related_to,Monday
Saddam Hussein,related_to,Iraqi
Monday,related_to,Iraqi
Iraqi,related_to,Dujail
Iraqi,related_to,1982
Iraqi,related_to,Saddam
Dujail,related_to,1982
Dujail,related_to,Saddam
1982,related_to,Saddam
Israel,related_to,Palestinian
Thursday,related_to,General Dan Halutz
Thursday,related_to,Israeli
Thursday,related_to,Supreme Court
Thursday,related_to,Palestinian
General Dan Halutz,related_to,Israeli
General Dan Halutz,related_to,Supreme Court
General Dan Halutz,related_to,Palestinian
Israeli,related_to,Supreme Court
Israeli,related_to,Palestinian
Supreme Court,related_to,Palestinian
2002,related_to,Israeli
2002,related_to,Palestinian
2002,related_to,Palestinian
2002,related_to,West Bank
Israeli,related_to,Palestinian
Israeli,related_to,Palestinian
Israeli,related_to,West Bank
Palestinian,related_to,Palestinian
Palestinian,related_to,West Bank
Palestinian,related_to,West Bank
2004,related_to,Palestinian
2004,related_to,Israeli
2004,related_to,Palestinian
Palestinian,related_to,Israeli
Palestinian,related_to,Palestinian
Israeli,related_to,Palestinian
Saddam Hussein,related_to,Iraqi
Baghdad,related_to,Barzan al-Tikriti
Baghdad,related_to,Wednesday
Barzan al-Tikriti,related_to,Wednesday
Saddam,related_to,late
Saddam,related_to,Dujail
Saddam,related_to,1982
Dujail,related_to,1982
China,related_to,Xinjiang
Chinese,related_to,Xinhua
Chinese,related_to,Friday
Chinese,related_to,Turpan
Xinhua,related_to,Friday
Xinhua,related_to,Turpan
Friday,related_to,Turpan
Bangladesh,related_to,Israel
Bangladesh,related_to,Vietnam
Israel,related_to,Vietnam
Michael Brown,related_to,Gulf Coast
U.S.,related_to,India
U.S.,related_to,President Bush
U.S.,related_to,New Delhi
India,related_to,President Bush
India,related_to,New Delhi
President Bush,related_to,New Delhi
U.S. Embassy,related_to,Saturday
U.S. Embassy,related_to,Washington
U.S. Embassy,related_to,Nicholas Burns
U.S. Embassy,related_to,New Delhi
Saturday,related_to,Washington
Saturday,related_to,Nicholas Burns
Saturday,related_to,New Delhi
Washington,related_to,Nicholas Burns
Washington,related_to,New Delhi
Nicholas Burns,related_to,New Delhi
Washington,related_to,India
Washington,related_to,Indian
India,related_to,Indian
President Bush,related_to,India
President Bush,related_to,Congress
India,related_to,Congress
Mr. Bush,related_to,Stephen Hadley
Mr. Bush,related_to,Friday
Stephen Hadley,related_to,Friday
Syria,related_to,Washington
Syria,related_to,United States
Syria,related_to,American
Washington,related_to,United States
Washington,related_to,American
United States,related_to,American
New York Times,related_to,Monday
New York Times,related_to,Ambassador Imad Moustapha
New York Times,related_to,10
New York Times,related_to,Damascus
New York Times,related_to,U.S.
New York Times,related_to,Central Intelligence Agency
Monday,related_to,Ambassador Imad Moustapha
Monday,related_to,10
Monday,related_to,Damascus
Monday,related_to,U.S.
Monday,related_to,Central Intelligence Agency
Ambassador Imad Moustapha,related_to,10
Ambassador Imad Moustapha,related_to,Damascus
Ambassador Imad Moustapha,related_to,U.S.
Ambassador Imad Moustapha,related_to,Central Intelligence Agency
10,related_to,Damascus
10,related_to,U.S.
10,related_to,Central Intelligence Agency
Damascus,related_to,U.S.
Damascus,related_to,Central Intelligence Agency
U.S.,related_to,Central Intelligence Agency
Mr.,related_to,Moustapha
Mr.,related_to,Bush
Mr.,related_to,Syria
Mr.,related_to,Iraq
Mr.,related_to,Lebanon
Moustapha,related_to,Bush
Moustapha,related_to,Syria
Moustapha,related_to,Iraq
Moustapha,related_to,Lebanon
Bush,related_to,Syria
Bush,related_to,Iraq
Bush,related_to,Lebanon
Syria,related_to,Iraq
Syria,related_to,Lebanon
Iraq,related_to,Lebanon
Bush,related_to,Syria
Bush,related_to,Iraq
Syria,related_to,Iraq
New York Times,related_to,Syria
New York Times,related_to,Bush
New York Times,related_to,Syrian
Syria,related_to,Bush
Syria,related_to,Syrian
Bush,related_to,Syrian
Afghan,related_to,al-Qaida
Afghan,related_to,Afghanistan
al-Qaida,related_to,Afghanistan
al-Qaida,related_to,Balkh
al-Qaida,related_to,Atta Mohammed
Balkh,related_to,Atta Mohammed
African,related_to,Mali
Atta Mohammed,related_to,Northern Alliance
Atta Mohammed,related_to,Taleban
Atta Mohammed,related_to,2001
Northern Alliance,related_to,Taleban
Northern Alliance,related_to,2001
Taleban,related_to,2001
Afghanistan,related_to,U.S.
Afghanistan,related_to,Mihtarlam
Afghanistan,related_to,Laghman
U.S.,related_to,Mihtarlam
U.S.,related_to,Laghman
Mihtarlam,related_to,Laghman
Kashmir,related_to,India and Pakistan
Kashmir,related_to,October
India and Pakistan,related_to,October
Thursday,related_to,Uri
Thursday,related_to,Indian
Thursday,related_to,Kashmir
Uri,related_to,Indian
Uri,related_to,Kashmir
Indian,related_to,Kashmir
Indian,related_to,Pakistani
Indian,related_to,Indian
Pakistani,related_to,Indian
Pakistani,related_to,Pakistani
Pakistani,related_to,Kashmir
Pakistani,related_to,Indian
Pakistani,related_to,Kashmir
Pakistani,related_to,Kashmir
Pakistani,related_to,Indian
Pakistani,related_to,Kashmir
Kashmir,related_to,Indian
Kashmir,related_to,Kashmir
Indian,related_to,Kashmir
Kashmiri,related_to,Pakistan and India
Iran,related_to,Cable News Network
Iran,related_to,Iran
Cable News Network,related_to,Iran
President Mahmoud Ahmadinejad,related_to,Saturday
CNN,related_to,Iran
Elco Industries Inc.,related_to,"ending June 30 , 1990"
Rockford,related_to,Ill.
Rockford,related_to,current fiscal
Rockford,related_to,fiscal 1989
Ill.,related_to,current fiscal
Ill.,related_to,fiscal 1989
current fiscal,related_to,fiscal 1989
fiscal 1989,related_to,Elco
Brazil,related_to,American
Brazil,related_to,Brazil
American,related_to,Brazil
Since 2003,related_to,Brazil
2008,related_to,Brazil
2007 and 2008,related_to,Brazil
2007 and 2008,related_to,September 2008
Brazil,related_to,September 2008
Brazil,related_to,Brazil
President Dilma ROUSSEFF,related_to,Central Bank
Greece,related_to,Ottoman Empire
Greece,related_to,1829
Ottoman Empire,related_to,1829
second half of,related_to,19th century and
second half of,related_to,first half of
second half of,related_to,20th century
19th century and,related_to,first half of
19th century and,related_to,20th century
first half of,related_to,20th century
II,related_to,Greece
II,related_to,Italy
II,related_to,1940
II,related_to,Germany
Greece,related_to,Italy
Greece,related_to,1940
Greece,related_to,Germany
Italy,related_to,1940
Italy,related_to,Germany
1940,related_to,Germany
1949,related_to,Greece
1949,related_to,NATO
1949,related_to,1952
Greece,related_to,NATO
Greece,related_to,1952
NATO,related_to,1952
1981,related_to,Greece
1981,related_to,EC
1981,related_to,EU
1981,related_to,12th
1981,related_to,European Economic and Monetary Union
1981,related_to,2001
Greece,related_to,EC
Greece,related_to,EU
Greece,related_to,12th
Greece,related_to,European Economic and Monetary Union
Greece,related_to,2001
EC,related_to,EU
EC,related_to,12th
EC,related_to,European Economic and Monetary Union
EC,related_to,2001
EU,related_to,12th
EU,related_to,European Economic and Monetary Union
EU,related_to,2001
12th,related_to,European Economic and Monetary Union
12th,related_to,2001
European Economic and Monetary Union,related_to,2001
2010,related_to,Greek
2010,related_to,EMU
Greek,related_to,EMU
New Zealand,related_to,2008
New Zealand,related_to,2009 -
2008,related_to,2009 -
New Zealand,related_to,Tokelau
US,related_to,2004
US,related_to,Tokelau
2004,related_to,Tokelau
Eastern Turkmenistan,related_to,Persian
Eastern Turkmenistan,related_to,Khurasan
Eastern Turkmenistan,related_to,Merv
Eastern Turkmenistan,related_to,today
Eastern Turkmenistan,related_to,Mary
Eastern Turkmenistan,related_to,Silk Road
Persian,related_to,Khurasan
Persian,related_to,Merv
Persian,related_to,today
Persian,related_to,Mary
Persian,related_to,Silk Road
Khurasan,related_to,Merv
Khurasan,related_to,today
Khurasan,related_to,Mary
Khurasan,related_to,Silk Road
Merv,related_to,today
Merv,related_to,Mary
Merv,related_to,Silk Road
today,related_to,Mary
today,related_to,Silk Road
Mary,related_to,Silk Road
Russia,related_to,between 1865 and 1885
Russia,related_to,Turkmenistan
Russia,related_to,1924
between 1865 and 1885,related_to,Turkmenistan
between 1865 and 1885,related_to,1924
Turkmenistan,related_to,1924
USSR,related_to,1991
Turkmen Government,related_to,Russian
2010,related_to,Turkmen
2010,related_to,China
2010,related_to,Iran
2010,related_to,Russian
2010,related_to,Turkmen
Turkmen,related_to,China
Turkmen,related_to,Iran
Turkmen,related_to,Russian
Turkmen,related_to,Turkmen
China,related_to,Iran
China,related_to,Russian
China,related_to,Turkmen
Iran,related_to,Russian
Iran,related_to,Turkmen
Russian,related_to,Turkmen
President,related_to,Life Saparmurat NYYAZOW
President,related_to,December 2006
President,related_to,Turkmenistan
President,related_to,multi-candidate
President,related_to,February 2007
Life Saparmurat NYYAZOW,related_to,December 2006
Life Saparmurat NYYAZOW,related_to,Turkmenistan
Life Saparmurat NYYAZOW,related_to,multi-candidate
Life Saparmurat NYYAZOW,related_to,February 2007
December 2006,related_to,Turkmenistan
December 2006,related_to,multi-candidate
December 2006,related_to,February 2007
Turkmenistan,related_to,multi-candidate
Turkmenistan,related_to,February 2007
multi-candidate,related_to,February 2007
Gurbanguly BERDIMUHAMEDOW,related_to,NYYAZOW
South Pacific,related_to,Cook Islands
Chinese,related_to,American
Chinese,related_to,Chinese
American,related_to,Chinese
Mongolian,related_to,White Christians
White House,related_to,Hubble Space Telescope
White House,related_to,U.S.
White House,related_to,NASA
Hubble Space Telescope,related_to,U.S.
Hubble Space Telescope,related_to,NASA
U.S.,related_to,NASA
space.com,related_to,Friday
space.com,related_to,NASA
space.com,related_to,Sean O'Keefe
space.com,related_to,2006
space.com,related_to,February
Friday,related_to,NASA
Friday,related_to,Sean O'Keefe
Friday,related_to,2006
Friday,related_to,February
NASA,related_to,Sean O'Keefe
NASA,related_to,2006
NASA,related_to,February
Sean O'Keefe,related_to,2006
Sean O'Keefe,related_to,February
2006,related_to,February
NASA,related_to,Hubble
NASA,related_to,February 2003
Hubble,related_to,February 2003
Haiti,related_to,Supreme Court
Haitian-born Dumarsais Simeus,related_to,U.S.
Thursday,related_to,Haiti
Haiti,related_to,Prime Minister Gerard Latortue
Haiti,related_to,several
Haiti,related_to,November 20
Prime Minister Gerard Latortue,related_to,several
Prime Minister Gerard Latortue,related_to,November 20
several,related_to,November 20
President Jean-Bertrand Aristide,related_to,February 2004
Ethiopia,related_to,"Agriculture Ministry ,"
Ethiopia,related_to,Mulgueta Debalk
Ethiopia,related_to,Newcastle
"Agriculture Ministry ,",related_to,Mulgueta Debalk
"Agriculture Ministry ,",related_to,Newcastle
Mulgueta Debalk,related_to,Newcastle
Ethiopia,related_to,several
Ethiopia,related_to,African
Asia,related_to,since 2003
Europe,related_to,Middle East
U.N.,related_to,Yemen
U.N.,related_to,the Gulf of Aden
Yemen,related_to,the Gulf of Aden
Somalia,related_to,Somalis
Somalia,related_to,Ethiopians
Somalis,related_to,Ethiopians
Somalis,related_to,Ethiopians
Somalis,related_to,Gulf of Aden
Somalis,related_to,each
Ethiopians,related_to,Gulf of Aden
Ethiopians,related_to,each
Gulf of Aden,related_to,each
Narathiwat,related_to,Monday
50,related_to,Thai
50,related_to,Sunday
Thai,related_to,Sunday
Thais,related_to,King Bhumibol Adulyadej
Sunday,related_to,Iraqi
Sunday,related_to,Tuz Khurmatu
Iraqi,related_to,Tuz Khurmatu
Iraqi,related_to,Baghdad
Iraq,related_to,Committee
southern Iraq,related_to,British
southern Iraq,related_to,British
southern Iraq,related_to,Basra
southern Iraq,related_to,Iraq
southern Iraq,related_to,since
southern Iraq,related_to,May
British,related_to,British
British,related_to,Basra
British,related_to,Iraq
British,related_to,since
British,related_to,May
British,related_to,Basra
British,related_to,Iraq
British,related_to,since
British,related_to,May
Basra,related_to,Iraq
Basra,related_to,since
Basra,related_to,May
Iraq,related_to,since
Iraq,related_to,May
since,related_to,May
Kirkuk,related_to,U.S.
Kirkuk,related_to,Iraqi
Kirkuk,related_to,Iraqi
U.S.,related_to,Iraqi
U.S.,related_to,Iraqi
Iraqi,related_to,Iraqi
Venezuelan,related_to,President Hugo Chavez
Mr. Chavez,related_to,Monday
Mr. Chavez,related_to,Venezuela
Mr. Chavez,related_to,Colombia
Mr. Chavez,related_to,Peru
Mr. Chavez,related_to,United States
Monday,related_to,Venezuela
Monday,related_to,Colombia
Monday,related_to,Peru
Monday,related_to,United States
Venezuela,related_to,Colombia
Venezuela,related_to,Peru
Venezuela,related_to,United States
Colombia,related_to,Peru
Colombia,related_to,United States
Peru,related_to,United States
Bolivian,related_to,Evo Morales
Bolivian,related_to,Mr. Chavez
Evo Morales,related_to,Mr. Chavez
President Chavez,related_to,Colombia
President Chavez,related_to,Peru
President Chavez,related_to,U.S. Advocates
Colombia,related_to,Peru
Colombia,related_to,U.S. Advocates
Peru,related_to,U.S. Advocates
U.S. Senate,related_to,President Bush
Wednesday,related_to,Republican Majority Leader
Wednesday,related_to,Bill Frist
Wednesday,related_to,Judge Priscilla Owen
Republican Majority Leader,related_to,Bill Frist
Republican Majority Leader,related_to,Judge Priscilla Owen
Bill Frist,related_to,Judge Priscilla Owen
French,related_to,President Jacques Chirac
French,related_to,China
French,related_to,Xian
President Jacques Chirac,related_to,China
President Jacques Chirac,related_to,Xian
China,related_to,Xian
Mr. Chirac,related_to,China
Mr. Chirac,related_to,Han
China,related_to,Han
Mr. Chirac,related_to,Chinese
Mr. Chirac,related_to,Wuhan
Chinese,related_to,Wuhan
Chinese,related_to,Dongfeng
Chinese,related_to,2009
Dongfeng,related_to,2009
Beijing,related_to,Thursday
Beijing,related_to,French
Beijing,related_to,French
Beijing,related_to,Chinese
Thursday,related_to,French
Thursday,related_to,French
Thursday,related_to,Chinese
French,related_to,French
French,related_to,Chinese
French,related_to,Chinese
China,related_to,Airbus
Mr. Chirac,related_to,Chinese
Mr. Chirac,related_to,President Hu Jintao
Mr. Chirac,related_to,Thursday
Mr. Chirac,related_to,Iran
Mr. Chirac,related_to,North Korea
Chinese,related_to,President Hu Jintao
Chinese,related_to,Thursday
Chinese,related_to,Iran
Chinese,related_to,North Korea
President Hu Jintao,related_to,Thursday
President Hu Jintao,related_to,Iran
President Hu Jintao,related_to,North Korea
Thursday,related_to,Iran
Thursday,related_to,North Korea
Iran,related_to,North Korea
Pakistani,related_to,Afghan
Friday,related_to,Yakaghund
Friday,related_to,Pakistan
Friday,related_to,Mohmand
Yakaghund,related_to,Pakistan
Yakaghund,related_to,Mohmand
Pakistan,related_to,Mohmand
Mohmand,related_to,Pakistan
Mohmand,related_to,Taliban
Mohmand,related_to,al-Qaida
Pakistan,related_to,Taliban
Pakistan,related_to,al-Qaida
Taliban,related_to,al-Qaida
Pakistani,related_to,Mohmand
Pakistan,related_to,United States
Pakistan,related_to,Afghanistan
United States,related_to,Afghanistan
Iranian,related_to,northwestern Iran
Iranian,related_to,Iranian
northwestern Iran,related_to,Iranian
Iranian,related_to,IRNA
Iranian,related_to,Iranian
Iranian,related_to,Thursday
IRNA,related_to,Iranian
IRNA,related_to,Thursday
Iranian,related_to,Thursday
VOA,related_to,Aso
VOA,related_to,Iran
Aso,related_to,Iran
Iranian,related_to,northwestern Iran
German,related_to,Turks
German,related_to,Christianity
German,related_to,Malatya
Turks,related_to,Christianity
Turks,related_to,Malatya
Christianity,related_to,Malatya
Catholic,related_to,Greek
Catholic,related_to,Orthodox
Catholic,related_to,Turkish
Catholic,related_to,President
Catholic,related_to,Necdet Sezer
Greek,related_to,Orthodox
Greek,related_to,Turkish
Greek,related_to,President
Greek,related_to,Necdet Sezer
Orthodox,related_to,Turkish
Orthodox,related_to,President
Orthodox,related_to,Necdet Sezer
Turkish,related_to,President
Turkish,related_to,Necdet Sezer
President,related_to,Necdet Sezer
Chinese,related_to,eastern China
Xinhua,related_to,Friday
Xinhua,related_to,Anhui
Xinhua,related_to,Dangtu County
Friday,related_to,Anhui
Friday,related_to,Dangtu County
Anhui,related_to,Dangtu County
Saturday,related_to,Indonesian
Saturday,related_to,Bali
Indonesian,related_to,Bali
U.S.,related_to,State
U.S.,related_to,Condoleezza Rice
U.S.,related_to,United States
U.S.,related_to,Indonesia
State,related_to,Condoleezza Rice
State,related_to,United States
State,related_to,Indonesia
Condoleezza Rice,related_to,United States
Condoleezza Rice,related_to,Indonesia
United States,related_to,Indonesia
Prime,related_to,Tony Blair
Prime,related_to,Australian
Prime,related_to,Prime
Prime,related_to,John Howard
Prime,related_to,Indonesia
Tony Blair,related_to,Australian
Tony Blair,related_to,Prime
Tony Blair,related_to,John Howard
Tony Blair,related_to,Indonesia
Australian,related_to,Prime
Australian,related_to,John Howard
Australian,related_to,Indonesia
Prime,related_to,John Howard
Prime,related_to,Indonesia
John Howard,related_to,Indonesia
U.N.,related_to,Secretary-General
U.N.,related_to,Kofi Annan
U.N.,related_to,Bali
Secretary-General,related_to,Kofi Annan
Secretary-General,related_to,Bali
Kofi Annan,related_to,Bali
Japan,related_to,Philippines
Japan,related_to,New Zealand
Japan,related_to,Singapore
Japan,related_to,Germany
Japan,related_to,France
Philippines,related_to,New Zealand
Philippines,related_to,Singapore
Philippines,related_to,Germany
Philippines,related_to,France
New Zealand,related_to,Singapore
New Zealand,related_to,Germany
New Zealand,related_to,France
Singapore,related_to,Germany
Singapore,related_to,France
Germany,related_to,France
Swedes,related_to,Turin Winter
Swedes,related_to,Norway
Swedes,related_to,Wednesday
Turin Winter,related_to,Norway
Turin Winter,related_to,Wednesday
Norway,related_to,Wednesday
Thursday,related_to,Sweden
Thursday,related_to,Switzerland
Thursday,related_to,1998
Thursday,related_to,Canada
Sweden,related_to,Switzerland
Sweden,related_to,1998
Sweden,related_to,Canada
Switzerland,related_to,1998
Switzerland,related_to,Canada
1998,related_to,Canada
Sweden,related_to,Switzerland
Sweden,related_to,Turin
Switzerland,related_to,Turin
Indonesian,related_to,Flores Island
Flores,related_to,Indonesian
Flores,related_to,Jakarta
Indonesian,related_to,Jakarta
Italian,related_to,Italy
Italian,related_to,Afghanistan
Italian,related_to,Italian
Italy,related_to,Afghanistan
Italy,related_to,Italian
Afghanistan,related_to,Italian
Italian,related_to,La Stampa
Italian,related_to,Thursday
Italian,related_to,Minister Arturo Parisi
Italian,related_to,Afghanistan
La Stampa,related_to,Thursday
La Stampa,related_to,Minister Arturo Parisi
La Stampa,related_to,Afghanistan
Thursday,related_to,Minister Arturo Parisi
Thursday,related_to,Afghanistan
Minister Arturo Parisi,related_to,Afghanistan
Italian,related_to,Gabriele Torsello
Italian,related_to,Afghanistan
Italian,related_to,Wednesday
Gabriele Torsello,related_to,Afghanistan
Gabriele Torsello,related_to,Wednesday
Afghanistan,related_to,Wednesday
Torsello,related_to,Italian
Torsello,related_to,Afghan
Torsello,related_to,Christianity
Torsello,related_to,Italy
Italian,related_to,Afghan
Italian,related_to,Christianity
Italian,related_to,Italy
Afghan,related_to,Christianity
Afghan,related_to,Italy
Christianity,related_to,Italy
Torsello,related_to,Helmand
Rome,related_to,Foreign Ministry
U.S. Defense,related_to,Secretary Donald Rumsfeld
U.S. Defense,related_to,Afghanistan
U.S. Defense,related_to,five
U.S. Defense,related_to,Taleban
Secretary Donald Rumsfeld,related_to,Afghanistan
Secretary Donald Rumsfeld,related_to,five
Secretary Donald Rumsfeld,related_to,Taleban
Afghanistan,related_to,five
Afghanistan,related_to,Taleban
five,related_to,Taleban
Saturday,related_to,Rumsfeld
Saturday,related_to,Afghanistan
Rumsfeld,related_to,Afghanistan
Pakistan,related_to,U.S. State Department counter-terrorism
Pakistan,related_to,Pakistan
Pakistan,related_to,Taleban
Pakistan,related_to,al-Qaida
U.S. State Department counter-terrorism,related_to,Pakistan
U.S. State Department counter-terrorism,related_to,Taleban
U.S. State Department counter-terrorism,related_to,al-Qaida
Pakistan,related_to,Taleban
Pakistan,related_to,al-Qaida
Taleban,related_to,al-Qaida
Henry Crumpton,related_to,Kabul Saturday
Henry Crumpton,related_to,Pakistan
Henry Crumpton,related_to,Pakistan
Henry Crumpton,related_to,al-Qaida
Henry Crumpton,related_to,Pakistan
Henry Crumpton,related_to,Afghanistan
Kabul Saturday,related_to,Pakistan
Kabul Saturday,related_to,Pakistan
Kabul Saturday,related_to,al-Qaida
Kabul Saturday,related_to,Pakistan
Kabul Saturday,related_to,Afghanistan
Pakistan,related_to,Pakistan
Pakistan,related_to,al-Qaida
Pakistan,related_to,Pakistan
Pakistan,related_to,Afghanistan
Pakistan,related_to,al-Qaida
Pakistan,related_to,Pakistan
Pakistan,related_to,Afghanistan
al-Qaida,related_to,Pakistan
al-Qaida,related_to,Afghanistan
Pakistan,related_to,Afghanistan
Pakistan,related_to,Shaukat Sultan
Pakistan,related_to,Crumpton
Pakistan,related_to,Pakistani
Shaukat Sultan,related_to,Crumpton
Shaukat Sultan,related_to,Pakistani
Crumpton,related_to,Pakistani
Pakistan,related_to,U.S.
Pakistani,related_to,July
Iraq,related_to,Thursday
Iraq,related_to,U.S.
Thursday,related_to,U.S.
South,related_to,Iskandariya
Iraqi,related_to,Sulaymaniyeh
Iraqi,related_to,Baghdad
Sulaymaniyeh,related_to,Baghdad
U.S.,related_to,American
U.S.,related_to,Baghdad
American,related_to,Baghdad
Iraqi,related_to,Iraq
Saturday,related_to,Emerli
Saturday,related_to,Baghdad
Emerli,related_to,Baghdad
U.S.,related_to,Saturday
U.S.,related_to,American
U.S.,related_to,Iraqi
U.S.,related_to,past few
U.S.,related_to,Baghdad
Saturday,related_to,American
Saturday,related_to,Iraqi
Saturday,related_to,past few
Saturday,related_to,Baghdad
American,related_to,Iraqi
American,related_to,past few
American,related_to,Baghdad
Iraqi,related_to,past few
Iraqi,related_to,Baghdad
past few,related_to,Baghdad
Britain,related_to,British
Britain,related_to,Basra
British,related_to,Basra
Arnold Schwarzenegger,related_to,San Francisco
Arnold Schwarzenegger,related_to,Oregon
San Francisco,related_to,Oregon
California,related_to,fifth straight day
Saturday,related_to,San Jose
Saturday,related_to,Los Angeles
Saturday,related_to,Sacramento
San Jose,related_to,Los Angeles
San Jose,related_to,Sacramento
Los Angeles,related_to,Sacramento
Afghanistan,related_to,Pakistani
Afghanistan,related_to,Islamabad
Afghanistan,related_to,U.S.
Pakistani,related_to,Islamabad
Pakistani,related_to,U.S.
Islamabad,related_to,U.S.
Pakistani,related_to,Afghan
Pakistani,related_to,Rangin Dadfar Spanta
Pakistani,related_to,Pakistani
Pakistani,related_to,Shah Mahmood Qureshi
Pakistani,related_to,Pakistani
Pakistani,related_to,President
Pakistani,related_to,Ali Zardari
Afghan,related_to,Rangin Dadfar Spanta
Afghan,related_to,Pakistani
Afghan,related_to,Shah Mahmood Qureshi
Afghan,related_to,Pakistani
Afghan,related_to,President
Afghan,related_to,Ali Zardari
Rangin Dadfar Spanta,related_to,Pakistani
Rangin Dadfar Spanta,related_to,Shah Mahmood Qureshi
Rangin Dadfar Spanta,related_to,Pakistani
Rangin Dadfar Spanta,related_to,President
Rangin Dadfar Spanta,related_to,Ali Zardari
Pakistani,related_to,Shah Mahmood Qureshi
Pakistani,related_to,Pakistani
Pakistani,related_to,President
Pakistani,related_to,Ali Zardari
Shah Mahmood Qureshi,related_to,Pakistani
Shah Mahmood Qureshi,related_to,President
Shah Mahmood Qureshi,related_to,Ali Zardari
Pakistani,related_to,President
Pakistani,related_to,Ali Zardari
President,related_to,Ali Zardari
U.S.,related_to,Pakistan
U.S.,related_to,Afghanistan
U.S.,related_to,Richard Holbrooke
U.S.,related_to,South Asia
U.S.,related_to,Obama
U.S.,related_to,Afghan
Pakistan,related_to,Afghanistan
Pakistan,related_to,Richard Holbrooke
Pakistan,related_to,South Asia
Pakistan,related_to,Obama
Pakistan,related_to,Afghan
Afghanistan,related_to,Richard Holbrooke
Afghanistan,related_to,South Asia
Afghanistan,related_to,Obama
Afghanistan,related_to,Afghan
Richard Holbrooke,related_to,South Asia
Richard Holbrooke,related_to,Obama
Richard Holbrooke,related_to,Afghan
South Asia,related_to,Obama
South Asia,related_to,Afghan
Obama,related_to,Afghan
Pakistan,related_to,Qureshi
Pakistan,related_to,Afghanistan
Qureshi,related_to,Afghanistan
United States,related_to,Afghanistan
Iran,related_to,Iranian
Iran,related_to,Akbar Ganji
Iranian,related_to,Akbar Ganji
Massoud Moghaddasi,related_to,Tuesday
Massoud Moghaddasi,related_to,Tehran
Tuesday,related_to,Tehran
Mr. Ganji,related_to,2001
Mr. Ganji,related_to,Tehran
Deputy Secretary,related_to,State
Deputy Secretary,related_to,John Negroponte
Deputy Secretary,related_to,US
Deputy Secretary,related_to,Pakistani
State,related_to,John Negroponte
State,related_to,US
State,related_to,Pakistani
John Negroponte,related_to,US
John Negroponte,related_to,Pakistani
US,related_to,Pakistani
U.S. National Hurricane Center,related_to,Tropical Storm Tomas
U.S. National Hurricane Center,related_to,Haiti
U.S. National Hurricane Center,related_to,Port-au-Prince
Tropical Storm Tomas,related_to,Haiti
Tropical Storm Tomas,related_to,Port-au-Prince
Haiti,related_to,Port-au-Prince
Sunday,related_to,Wednesday
Haiti,related_to,January
United Nations,related_to,Haiti
Somalia,related_to,Mogadishu
Somalia,related_to,Kenya
Somalia,related_to,February 21
Mogadishu,related_to,Kenya
Mogadishu,related_to,February 21
Kenya,related_to,February 21
Kenya,related_to,formation
Kenya,related_to,Somalia
formation,related_to,Somalia
Tuesday,related_to,Mogadishu
Somalia,related_to,Prime Minister Mohammed Ali Gedi
Somalia,related_to,today
Prime Minister Mohammed Ali Gedi,related_to,today
Tuesday,related_to,African Union
Tuesday,related_to,African
African Union,related_to,African
Haitian,related_to,Tuesday
Haitian,related_to,Canada
Haitian,related_to,Britain
Haitian,related_to,Queen Elizabeth
Tuesday,related_to,Canada
Tuesday,related_to,Britain
Tuesday,related_to,Queen Elizabeth
Canada,related_to,Britain
Canada,related_to,Queen Elizabeth
Britain,related_to,Queen Elizabeth
Ms. Jean,related_to,Canada
Ms. Jean,related_to,Quebec
Ms. Jean,related_to,Haiti
Canada,related_to,Quebec
Canada,related_to,Haiti
Quebec,related_to,Haiti
Quebec,related_to,Canadian
Canada,related_to,1867
Canada,related_to,British
1867,related_to,British
President Dick Cheney,related_to,U.S.
President Dick Cheney,related_to,Iraq
President Dick Cheney,related_to,Iran
U.S.,related_to,Iraq
U.S.,related_to,Iran
Iraq,related_to,Iran
New York Times,related_to,Iraqi
New York Times,related_to,Islam
New York Times,related_to,Iraq
Iraqi,related_to,Islam
Iraqi,related_to,Iraq
Islam,related_to,Iraq
Fox News,related_to,Sunday
Fox News,related_to,Mr. Cheney
Sunday,related_to,Mr. Cheney
Sunday,related_to,Iraqi
Luxembourg,related_to,Sunday
Luxembourg,related_to,European Union
Sunday,related_to,European Union
Prime Minister Jean-Claude Juncker,related_to,Luxembourg
Luxembourg,related_to,Britain
Luxembourg,related_to,Denmark
Luxembourg,related_to,Portugal
Luxembourg,related_to,Sweden and Finland
Britain,related_to,Denmark
Britain,related_to,Portugal
Britain,related_to,Sweden and Finland
Denmark,related_to,Portugal
Denmark,related_to,Sweden and Finland
Portugal,related_to,Sweden and Finland
French,related_to,Dutch
NATO,related_to,Latvia
NATO,related_to,the Netherlands
