Subject,Relation,Object,Subject_Type,Object_Type
Sudan,related_to,Darfur,geo,geo
Prime,related_to,Pakistan,per,geo
Sunday,related_to,Srinagar,tim,geo
Paris,related_to,Sunday,geo,tim
South Korea,related_to,Koreans,geo,gpe
United Nations,related_to,U.N.,org,geo
five,related_to,later,tim,tim
Baghdad,related_to,National Assembly,geo,org
Mr. Qureia,related_to,Yasser Arafat,per,org
Alaska,related_to,Far Eastern,geo,geo
since March,related_to,Lhasa,tim,org
NATO,related_to,Afghanistan,org,geo
Veligonda,related_to,southern Andhra Pradesh,geo,geo
Middle East,related_to,Europe,geo,geo
U.N.,related_to,Iran,geo,geo
VOA,related_to,U.N.,org,geo
the Yellow Sea,related_to,Korean,geo,gpe
Monday,related_to,Kurdistan Workers Party,tim,org
Turkey,related_to,since 2003,geo,tim
Pakistan,related_to,North Korea,gpe,gpe
Afghanistan,related_to,Afghan,geo,gpe
Prime Minister Tony Blair,related_to,Palestinian,per,gpe
Turkey,related_to,Mr.,geo,per
American,related_to,Sunday,gpe,tim
Helmand,related_to,Friday,geo,tim
three-day,related_to,ASEAN,tim,org
Marwan Boodai,related_to,Jazeera Airways,per,geo
Mr. Vajpayee,related_to,BJP,per,org
Giza,related_to,Cairo,geo,geo
Pyongyang,related_to,North,gpe,gpe
The Associated Press,related_to,Mr. Straw,org,per
Iraqi,related_to,Iraqi,gpe,gpe
U.S.,related_to,Palestinian,org,gpe
Madrid,related_to,2004,geo,tim
Ivory Coast,related_to,Charles Konan Banny,geo,per
EU,related_to,Iran,org,geo
Wednesday,related_to,Dodger Stadium,tim,org
Taiwan,related_to,1949,geo,tim
New York City,related_to,London,geo,geo
Friday,related_to,Madrid,tim,geo
Unocal,related_to,Commission,org,org
Mr. Abbas,related_to,Israel,per,geo
Mr. Katsav,related_to,Wednesday,per,tim
Ethiopian,related_to,Somali,gpe,gpe
Maccabi Haifa,related_to,Liverpool of England,geo,geo
Mr. Aziz,related_to,Iraq,per,geo
World Bank,related_to,IMF,org,org
Wednesday,related_to,Port-au-Prince,tim,geo
Parnaz Azima,related_to,U.S.-funded Radio Farda,org,org
of Singapore,related_to,of Borneo,org,org
Russia,related_to,Russia,geo,geo
NATO,related_to,Canada,org,geo
U.S.,related_to,U.S.,geo,org
Austria,related_to,CIA,geo,org
British,related_to,Prime,gpe,per
Friday,related_to,Quetta,tim,geo
Interfax News Agency,related_to,Yukos,org,org
Iraqi,related_to,Baghdad,gpe,geo
Taleban,related_to,Afghanistan,org,geo
U.N.,related_to,Secretary General Kofi Annan,org,per
Africans,related_to,Cameroon,gpe,org
Captain Angela Bowman,related_to,Tuesday,per,tim
Pakistan,related_to,Afghanistan,geo,gpe
Prime,related_to,May,per,tim
Baghdad,related_to,Thursday,geo,tim
Ghana,related_to,Accra,geo,geo
Iran,related_to,2009,geo,tim
December 2004,related_to,December,tim,tim
Zim Asia,related_to,Haifa,geo,geo
China,related_to,of,geo,tim
Mr. Pronk,related_to,International Criminal Court,per,org
Palestinian,related_to,Israel,gpe,geo
Mr.,related_to,one-day,per,tim
Mr. Olmert,related_to,West Bank,per,org
", Jagdish Tytler",related_to,Manmohan Singh,org,per
Christopher COLUMBUS,related_to,1492,per,tim
E.U.,related_to,Hamas,geo,org
Bougainville,related_to,1997,geo,tim
U.S. State Department,related_to,North Korea,org,geo
Chile,related_to,Thursday,geo,tim
U.S.,related_to,Japanese,geo,gpe
Guangzhou,related_to,Shenzhen,geo,geo
Friday,related_to,Afghanistan,tim,geo
Jerusalem,related_to,three,geo,tim
Israeli,related_to,Palestinian,gpe,gpe
Russian,related_to,ABC,gpe,org
Hamas,related_to,January,org,tim
Senator Hillary Clinton,related_to,John McCain,per,per
1992,related_to,Serb,tim,gpe
Hariri,related_to,Saad,geo,per
Samuels,related_to,267,per,tim
Kabul,related_to,1976,geo,tim
Iraqi,related_to,U.S.,gpe,geo
Sunday,related_to,Mr. Ahmadinejad,tim,per
Malaysian,related_to,Federation,gpe,geo
Palestinian,related_to,President Mahmoud Abbas,gpe,per
Crnogorac,related_to,Bosnia,per,geo
Germany,related_to,Angela Merkel,geo,per
Istanbul,related_to,al-Qaida,geo,org
Interfax,related_to,Saturday,org,tim
U.S. Gulf Coast,related_to,America,geo,geo
past,related_to,Nasa,tim,geo
Afghan,related_to,Afghanistan,gpe,geo
Taliban,related_to,Pakistan,org,geo
Sunni,related_to,Sunni,per,per
Iraqi,related_to,Saturday,gpe,tim
China,related_to,few,geo,tim
NATO,related_to,Monday,org,tim
United States,related_to,Alberto Martin,geo,per
Tel Aviv,related_to,two,org,tim
Mr.,related_to,Ahmadinejad,per,org
Al-Qaida,related_to,Iraq,org,geo
January 1st,related_to,Ears Day,tim,tim
Palestinian,related_to,Mahmoud Abbas,gpe,per
Chad,related_to,two,geo,tim
Mr. Chavez,related_to,President Sarkozy,per,per
United States,related_to,Dar es Salaam,geo,geo
NATO,related_to,Kandahar,org,geo
Sunday,related_to,Mr. Morales,tim,per
two,related_to,since,tim,tim
Cubans,related_to,Tuesday,gpe,tim
Chinese,related_to,Chinese,gpe,gpe
U.N.,related_to,Hariri,geo,per
al-Qaida,related_to,Iraq,org,geo
Merv,related_to,today,tim,tim
Friday,related_to,Kofi Annan,tim,per
15,related_to,New Caledonia,tim,geo
Mario Raviglione,related_to,WHO,per,org
Viktor Yushchenko,related_to,TCDD,per,org
Washington,related_to,Iran,geo,geo
Afghan,related_to,David Richards,gpe,per
World War I,related_to,France,eve,geo
American,related_to,southern Afghanistan,gpe,geo
Britain,related_to,Camilla,geo,per
National Liberation Army,related_to,today,org,tim
Ekaterina Bychkova,related_to,Wednesday,per,tim
El Salvador,related_to,Red Solidaria,org,org
Sudan,related_to,southern Sudan,gpe,geo
Albanians,related_to,Macedonian,gpe,gpe
Iraqi,related_to,Dujail,gpe,geo
Hamas,related_to,Gaza Strip,org,geo
United Nations,related_to,Sierra Leone,org,geo
State,related_to,November,org,tim
State,related_to,Prime,org,per
Gaza,related_to,Palestinian,geo,gpe
Mr. Fujimori,related_to,Japanese,per,gpe
Research,related_to,Kiribati,org,geo
II,related_to,Eastern Europe,eve,geo
World Health Organization,related_to,since 2003,org,tim
Pakistani,related_to,Sunday night,gpe,tim
Madoff,related_to,June 29,per,tim
Henri Salvador,related_to,Paris,per,geo
Organization for Security and Cooperation,related_to,Mr.,org,per
John McCain,related_to,U.S.,per,geo
Senior Bush,related_to,Porter Goss,per,per
Huygens,related_to,Titan,org,tim
Friday,related_to,London,tim,geo
Balkans,related_to,1991,geo,tim
U.S.,related_to,Baquba,geo,geo
Kandahar,related_to,Canada,geo,geo
Syrian,related_to,Friday,gpe,tim
Japanese,related_to,Minister Yoshinori Ono,gpe,per
Iran,related_to,Tehran,geo,geo
Sudan,related_to,Chad,org,geo
Palestinian,related_to,Gaza Strip,gpe,org
November,related_to,January 27,tim,tim
Minister Alexander Khetaguri,related_to,Thursday,per,tim
Monday,related_to,Palestinian,tim,gpe
the International Conference,related_to,Illinois,geo,geo
Sunday,related_to,Israeli,tim,gpe
East China Sea,related_to,Senkaku,geo,geo
Middlesbrough,related_to,the Netherlands,org,geo
J. B. Penn,related_to,Monday,per,tim
Turkish,related_to,2003,gpe,tim
Colombian,related_to,Colombia,gpe,geo
Ethiopia,related_to,Thursday,geo,tim
Friday,related_to,Russia,tim,geo
Monday,related_to,U.S. Marine,tim,geo
Khaled,related_to,Arafa,per,per
Witty,related_to,Turin,per,geo
Mr. Ban,related_to,U.N.,per,geo
Srebotnik,related_to,Italy,geo,geo
U.S.,related_to,Israel,geo,geo
President Paul Kagame,related_to,Rwandan,per,gpe
Pakistan,related_to,Egypt,geo,geo
London,related_to,Pakistan,geo,geo
Palestinian,related_to,Israeli,gpe,gpe
